Epoch	Train_Loss	Train_PPL	Val_Loss	Val_PPL	Val_Accuracy
1	5.6704	290.1545	4.0556	57.7178	0.3487
2	3.5027	33.2039	2.9596	19.2912	0.4754
3	2.6445	14.0768	2.4970	12.1456	0.5399
4	2.2187	9.1953	2.2852	9.8281	0.5717
5	1.9506	7.0326	2.1742	8.7952	0.5915
6	1.7496	5.7524	2.1289	8.4054	0.6003
7	1.5845	4.8769	2.1044	8.2022	0.6071
8	1.4404	4.2224	2.1051	8.2076	0.6124
9	1.3125	3.7153	2.1241	8.3650	0.6143
10	1.1961	3.3071	2.1476	8.5645	0.6147
11	1.0908	2.9766	2.1936	8.9670	0.6142
12	0.9938	2.7016	2.2371	9.3660	0.6158
13	0.9039	2.4691	2.2866	9.8416	0.6149
14	0.8217	2.2743	2.3429	10.4118	0.6141
15	0.7484	2.1136	2.3963	10.9821	0.6134
16	0.6812	1.9763	2.4483	11.5690	0.6133
17	0.6203	1.8595	2.4965	12.1405	0.6120
